periodo,year,quarter,pob_total,pob_hombres_total,pob_mujeres_total,pet_total,pet_hombres_15mas,pet_mujeres_15mas,pea_total,pea_hombres,pea_mujeres,ing_prom_mes_total,ing_prom_mes_hombres,ing_prom_mes_mujeres,ing_prom_hora_total,ing_prom_hora_hombres,ing_prom_hora_mujeres
2018.0-T1.0,2018.0,1.0,,,,,,,,,,,,,,,
2018.0-T2.0,2018.0,2.0,,,,,,,,,,,,,,,
2018.0-T3.0,2018.0,3.0,,,,,,,,,,,,,,,
2018.0-T4.0,2018.0,4.0,,,,,,,,,,,,,,,
2019.0-T1.0,2019.0,1.0,,,,,,,,,,,,,,,
2019.0-T2.0,2019.0,2.0,,,,,,,,,,,,,,,
2019.0-T3.0,2019.0,3.0,,,,,,,,,,,,,,,
2019.0-T4.0,2019.0,4.0,,,,,,,,,,,,,,,
2020.0-T1.0,2020.0,1.0,,,,,,,,,,,,,,,
2020.0-T4.0,2020.0,4.0,,,,,,,,,,,,,,,
2021.0-T1.0,2021.0,1.0,,,,,,,,,,,,,,,
2021.0-T2.0,2021.0,2.0,,,,,,,,,,,,,,,
2021.0-T3.0,2021.0,3.0,,,,,,,,,,,,,,,
2021.0-T4.0,2021.0,4.0,,,,,,,,,,,,,,,
2022.0-T1.0,2022.0,1.0,,,,,,,,,,,,,,,
2022.0-T2.0,2022.0,2.0,,,,,,,,,,,,,,,
2022.0-T3.0,2022.0,3.0,,,,,,,,,,,,,,,
2022.0-T4.0,2022.0,4.0,,,,,,,,,,,,,,,
2023.0-T1.0,2023.0,1.0,129035733.0,61897332.0,67138401.0,99747474.0,46936230.0,52811244.0,60089308.0,35823919.0,24265389.0,5572.884282869117,6129.758278934629,4749.883055237975,33.093275739276436,33.40232497193417,32.63653346064099
2023.0-T2.0,2023.0,2.0,129202482.0,61779747.0,67422735.0,100050783.0,46931627.0,53119156.0,60216432.0,35716535.0,24499897.0,5609.24965453157,6189.144079321166,4763.561287153065,34.273479541744045,34.86617382565623,33.409124514536934
2023.0-T3.0,2023.0,3.0,129406736.0,61908231.0,67498505.0,100597722.0,47279941.0,53317781.0,60992668.0,36229602.0,24763066.0,5710.580897389025,6240.0315982635175,4935.763224499758,34.18710621746996,34.477923964650984,33.76151280578211
2023.0-T4.0,2023.0,4.0,129625968.0,61888277.0,67737691.0,100839743.0,47280827.0,53558916.0,61042968.0,36126828.0,24916140.0,5750.936820864782,6280.375730093113,4982.981309309497,35.30298457194199,35.15395023802852,35.51916010446309
2024.0-T1.0,2024.0,1.0,129713690.0,61874206.0,67839484.0,101140860.0,47341862.0,53798998.0,60663120.0,35945805.0,24717315.0,6140.826098365714,6733.7156192043485,5276.205686731894,36.97873712913022,37.40263124505083,36.360565459511186
2024.0-T2.0,2024.0,2.0,129940228.0,61939986.0,68000242.0,101172040.0,47287388.0,53884652.0,60953610.0,36017628.0,24935982.0,6151.665425503843,6765.199665955766,5265.999420942483,37.555445595672786,38.02076985942728,36.883727777281194
2024.0-T3.0,2024.0,3.0,130154247.0,62071834.0,68082413.0,101620868.0,47551829.0,54069039.0,61370334.0,36334958.0,25035376.0,6257.68126092538,6854.28389421928,5391.13928512927,37.81424118944099,37.875005439092774,37.7259834949345
2024.0-T4.0,2024.0,4.0,130294079.0,62072760.0,68221319.0,101936513.0,47649912.0,54286601.0,61055321.0,35867548.0,25187773.0,6033.780371121714,6607.577274403342,5217.921971879382,37.496188084895614,37.330613555230954,37.73161175127469
